num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
1.0,Draco Faith,9574377.0,embarque,Panamá,7460.0,122.2,19.8,carguero,6.0,Dareon Shipping,"Guayaquil, Ecuador",2025-02-02 10:30:00,"Paita, Perú",2025-02-05 15:50:00,altura / exportacion,general suelta,acero,4949.059,,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,77.0,76.0,49.4,febrero,2025
,Draco Faith,9574377.0,embarque,Panamá,7460.0,122.2,19.8,carguero,6.0,Dareon Shipping,"Guayaquil, Ecuador",2025-02-02 10:30:00,"Paita, Perú",2025-02-05 15:50:00,altura / exportacion,general suelta,camiones,504.795,,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,febrero,2025
2.0,Jupiter Spirit,10007.0,desembarque,Liberia,45961.0,183.0,30.0,car-carrier,5.0,World Marine Co.,"Shangai, China",2025-02-06 06:30:00,"Kanda, Japon",2025-02-07 21:50:00,altura / importacion,general suelta,vehiculos,5279.510999999999,3301.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,39.0,38.0,24.7,febrero,2025
3.0,Grand Venus,9303211.0,desembarque,Panama,59217.0,199.99,32.0,car-carrier,10.0,Nyk Mexico,"Onahama, Japon",2025-02-12 05:36:00,Lazaro Cardenas,2025-02-12 15:17:00,altura / importacion,general suelta,vehiculos,503.425,537.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,10.0,9.0,5.8500000000000005,febrero,2025
4.0,Mao Hong,9903217.0,desembarque,China,35425.0,169.0,28.0,car-carrier,8.0,China  Merchants  Shenzhen  Roro  Shipping  Company  Limited,"Dalian, China",2025-02-13 20:00:00,Lazaro Cardenas,2025-02-14 11:20:00,altura / importacion,general suelta,vehiculos,566.5799999999999,399.0,,,5,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,14.0,13.0,8.450000000000001,febrero,2025
5.0,Mv Supreme Ace,9610391.0,desembarque,Panama,59022.0,199.95,32.0,car-carrier,10.0,Mol Ship Management (Singapore) Pte Ltd,"Kanda, Japón",2025-02-14 19:40:00,"San Juan, Puerto Rico",2025-02-15 18:00:00,altura / importacion,general suelta,vehiculos,1594.0,872.0,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,22.0,21.0,13.65,febrero,2025
,Mv Supreme Ace,9610391.0,embarque,Panama,59022.0,199.95,32.0,car-carrier,10.0,Mol Ship Management (Singapore) Pte Ltd,"Kanda, Japón",2025-02-14 19:40:00,"San Juan, Puerto Rico",2025-02-15 18:00:00,altura / exportacion,general suelta,vehiculos,693.016,500.0,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,febrero,2025
6.0,Oregon Highway,9381665.0,desembarque,Panama,57147.0,199.94,32.26,car-carrier,9.0,Line Roro Bulk Ship Management Co. Ltd.,"Shangai, China",2025-02-21 08:15:00,"Lazaro Cardenas, Mexico",2025-02-27 10:30:00,altura / importacion,general suelta,vehiculos,5038.645,4104.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,45.0,44.0,28.6,febrero,2025
7.0,Sunshine Ace,9338852.0,desembarque/embarque,Bahamas,58917.0,199.95,32.0,car-carrier,10.0,New Asian Shipping Company Limited,"Kanda, Japón",2025-02-23 13:30:00,"Los Angeles, U.S.A",2025-02-25 10:25:00,altura / importacion,general suelta,vehiculos,4114.14,2429.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,45.0,44.0,28.6,febrero,2025
8.0,Gold Kochav,9463205.0,desembarque,Panamá,59835.0,199.1,32.26,car-carrier,10.1,Zim Integra Ted Shipping Services Ltd,"Masa, Korea",2025-02-26 20:30:00,Lazaro Cardenas,2025-02-27 11:55:00,altura / importacion,general suelta,vehiculos,1178.55,770.0,,,3,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,15.0,14.0,9.1,febrero,2025
9.0,Rcc Amsterdam,9660798.0,desembarque,Bahamas,58767.0,199.95,32.0,car-carrier,10.0,Hyundai Glovis Co Ltd,"Ulsan, Corea del Sur",2025-02-26 18:30:00,Lazaro Cardenas,2025-02-28 15:25:00,altura / importacion,general suelta,vehiculos,2907.005,2296.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,41.0,40.0,26.0,febrero,2025
10.0,Astoria Harmony,9845972.0,desembarque,Panama,24331.0,182.87,31.0,carguero,10.0,Mr Cheang Cheng Wen,"Tobata, Japon",2025-02-06 12:30:00,"Long Beach, U.S.A.",2025-02-08 15:38:00,altura / importacion,general suelta,rollos de lamina,20753.431,,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,51.0,50.0,32.5,febrero,2025
11.0,Cebu Island,9760653.0,desembarque,Panama,23887.0,180.0,31.0,carguero,10.0,Toko Kauin Kaisha Ltd,"Vancouver, Canada",2025-02-12 13:30:00,"Manzanillo, Mexico",2025-02-13 11:15:00,altura / importacion,general suelta,rollos de lamina,5596.791,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,21.0,20.0,13.0,febrero,2025
12.0,Cl Yingna He,9890666.0,desembarque,Liberia,35812.0,200.0,32.0,carguero,13.0,Pan Ocean Co Ltd,"Pohang, Corea del Sur",2025-02-17 06:00:00,"Brownsville, U.S.A.",2025-02-18 19:14:00,altura / importacion,general suelta,rollos de lamina,3686.443,,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,13.0,12.0,7.800000000000001,febrero,2025
13.0,Kobe Harmony,9926087.0,desembarque,Panamá,25038.0,183.0,31.0,carguero,10.0,Representaciones Maritimas,"Long Beach, U.S.A.",2025-02-18 11:45:00,"Manzanillo, Col",2025-02-21 13:30:00,altura / importacion,general suelta,rollos de lamina,9576.302,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,66.0,65.0,42.25,febrero,2025
14.0,Lowlands Wealth,9986972.0,desembarque,Islas Marshall,36452.0,199.99,32.0,carguero,13.0,Sk Shipping Co Ltd,"Busan, Korea",2025-02-19 05:50:00,Lazaro Cardenas,2025-02-20 07:43:00,altura / importacion,general suelta,rollos de lamina,1613.04,,,,3,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,25.0,24.0,15.6,febrero,2025
15.0,Europa Bay,9615767.0,desembarque,Singapur,33366.0,197.0,32.0,carguero,12.0,Kawasaki Kisen Kaisha Ltd,"Ensenada, B.C.",2025-02-19 19:56:00,"Manzanillo, Col",2025-02-21 03:27:00,altura / importacion,general suelta,rollos de lamina,6796.865,,,,5,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,32.0,31.0,20.15,febrero,2025
16.0,Nanjing Confidence,9769697.0,desembarque,Portugal,25606.0,179.95,32.0,carguero,10.0,Oriental Shipping Enterprises S.A.,"Yokohama, Japon",2025-02-22 05:40:00,"Manzanillo, Col",2025-02-22 20:48:00,altura / importacion,general suelta,rollos de lamina,2319.707,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,febrero,2025
