num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
1.0,Elite Faith,9454058.0,embarque,Panama,7460.0,122.2,20.0,carguero,7.0,"Shen Zhen Shun Xin Yuan Shipping Co., Ltd.","Corinto, Nicaragua",2025-05-07 15:50:00,"Puerto Quetzal, Guatemala",2025-05-21 20:20:00,altura / exportación,general suelta,varilla (acero),6529.754,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,142.0,141.0,91.65,mayo,2025
,Elite Faith,9454058.0,embarque,Panama,7460.0,122.2,20.0,carguero,7.0,"Shen Zhen Shun Xin Yuan Shipping Co., Ltd.","Corinto, Nicaragua",2025-05-07 15:50:00,"Puerto Quetzal, Guatemala",2025-05-21 20:20:00,altura / exportación,general suelta,camiones,722.484,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,mayo,2025
,Elite Faith,9454058.0,desembarque,Panama,7460.0,122.2,20.0,carguero,7.0,"Shen Zhen Shun Xin Yuan Shipping Co., Ltd.","Corinto, Nicaragua",2025-05-07 15:50:00,"Puerto Quetzal, Guatemala",2025-05-21 20:20:00,altura / importación,general suelta,explosivos,54.21303,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,mayo,2025
2.0,Curacao,9426142.0,desembarque,Liberia,32309.0,189.0,32.0,carguero,13.0,Chinaland Shipping Pte Ltd,"Lianyungang, China",2025-05-08 11:50:00,"Puerto Cortes, Honduras",2025-05-14 01:12:00,altura / importación,general suelta,varios,13051.007,,3,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,133.0,132.0,85.8,mayo,2025
3.0,Tortugas,9319765.0,desembarque,Malta,61321.0,200.0,32.0,carguero,10.0,Eukor Car Carriers Inc,"Shangai, China",2025-05-02 12:55:00,"Lazaro Cardenas, Mexico",2025-05-03 00:28:00,altura / importación,general suelta,vehiculos,1985.532,1150.0,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,12.0,11.0,7.15,mayo,2025
4.0,Oregon Highway,9381665.0,desembarque,Panama,57147.0,199.94,32.26,car-carrier,9.0,Line Roro Bulk Ship Management Co. Ltd.,"Ohgishima, Japon",2025-05-05 13:58:00,"Lazaro Cardenas, Mexico",2025-05-06 01:50:00,altura / importación,general suelta,vehiculos,1354.385,1415.0,5,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,12.0,11.0,7.15,mayo,2025
5.0,Helios Ray,9690547.0,desembarque,Bahamas,71177.0,199.95,36.0,car-carrier,10.0,Hyundai Glovis,"Masan, Korea",2025-05-09 07:18:00,"Lazaro Cardenas, Mexico",2025-05-10 11:15:00,altura / importación,general suelta,vehiculos,3344.063,2094.0,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,28.0,27.0,17.55,mayo,2025
6.0,Guangzhou Highway,9294367.0,desembarque,Panama,48927.0,200.0,32.0,car-carrier,9.0,Kawasaki Kisen Kaisha Ltd,Lazaro Cardenas,2025-05-10 19:35:00,"Irago, Japon",2025-05-11 16:55:00,altura / importación,general suelta,vehiculos,2352.14,1500.0,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,21.0,20.0,13.0,mayo,2025
7.0,Viking Sea,9515008.0,desembarque,Islas Marshall,39454.0,167.2,28.0,car-carrier,8.0,Osm Shipmanagement Pte Ltd.,"Los Angeles, Ca",2025-05-08 14:26:00,"Shanghai, China",2025-05-08 23:55:00,altura / importación,general suelta,vehiculos,929.42,500.0,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,9.0,8.0,5.2,mayo,2025
8.0,Da Feng Gang Li Ming Hao,9188790.0,desembarque,Panama,33863.0,164.0,28.0,car-carrier,9.0,Seacon Ships Management Pte Ltd,Lazaro Cardenas,2025-05-11 05:30:00,"Tianjin, China",2025-05-13 21:23:00,altura / importación,general suelta,vehiculos,1930.32,1400.0,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,41.0,40.0,26.0,mayo,2025
