num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
1.0,Ince Point,9663271.0,desembarque,Hong Kong,23393.0,179.97,30.0,carguero,8.0,Toko Kaiun Kaisha Ltd,Stockton,2024-12-30 14:15:00,"Manzanillo, Col",2025-01-04 15:47:00,altura / importacion,general suelta,varios,7352.239,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,50.0,49.0,31.85,enero,2025
2.0,Jiuyang Fortune,9088237.0,desembarque,Hong Kong,44219.0,179.47,32.0,car carrier,8.0,"Joy Hk Shipping Co., Limited",Lazaro Cardenas,2025-01-11 05:59:00,Shanghai,2025-01-11 17:26:00,altura / importacion,general suelta,vehiculos,1889.664,1273.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,12.0,11.0,7.15,enero,2025
3.0,Ivory Arrow,9277838.0,desembarque,Bahamas,57718.0,199.0,32.0,car carrier,10.0,Kawasaki Kisen Kaisha Ltd,Incheon,2025-01-17 16:00:00,Lazaro Cardenas,2025-01-19 17:40:00,altura / importacion,general suelta,vehiculos,4188.486000000001,3383.0,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,46.0,45.0,29.25,enero,2025
4.0,Olympian Highway,9757993.0,desembarque,Japon,75185.0,200.0,38.0,car carrier,10.0,Kawasaki Kisen Kaisha Ltd,Yokohama,2024-01-21 19:57:00,Lazaro Cardenas,2025-01-22 10:20:00,altura / importacion,general suelta,vehiculos,1426.1,800.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,14.0,13.0,8.450000000000001,enero,2025
5.0,Lapis Arrow,9361809.0,desembarque,Bahamas,41000.0,176.0,31.0,car carrier,9.0,Hyundai Glovis,"Kwangyang, Corea del Sur",2025-01-23 14:40:00,Lazaro Cardenas,2025-01-24 15:15:00,altura / importacion,general suelta,vehiculos,3352.9080000000004,2516.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,25.0,24.0,15.6,enero,2025
6.0,Genius Highway,9672416.0,desembarque,Bahamas,58767.0,200.0,32.0,car carrier,10.0,Kawasaki Kisen Kaisha Ltd,Puerto Quetzal,2025-01-27 17:05:00,Long Beach Cal,2025-01-28 11:20:00,altura / importacion,general suelta,vehiculos,1176.315,1200.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,16.0,15.0,9.75,enero,2025
7.0,Tomini Kaimai,9709269.0,desembarque,Islas Marshall,25546.0,179.95,32.0,carguero,8.0,Toko Kaiun Kaisha Ltd,"Ensenada, Mexico",2025-01-10 13:00:00,Manzanillo,2025-01-11 13:27:00,altura / importacion,general suelta,rollos de lamina,4719.69,,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,24.0,23.0,14.95,enero,2025
8.0,Seattle Harmony,9836919.0,desembarque,Panama,24331.0,182.87,31.0,carguero,10.03,Nyk Bulk And Projects,"Ensenada, Mexico",2025-01-13 19:26:00,Manzanillo,2025-01-14 13:35:00,altura / importacion,general suelta,rollos de lamina,4041.623,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,18.0,17.0,11.05,enero,2025
9.0,Pan Imperial,9699361.0,desembarque,Panama,36474.0,199.0,32.0,carguero,13.0,Pan Ocean Co Ltd,Pohang Hang,2025-01-20 12:45:00,Wilmington Nc,2025-01-21 11:20:00,altura / importacion,general suelta,rollos de lamina,3894.484,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,22.0,21.0,13.65,enero,2025
10.0,Rising Sun,9700574.0,desembarque,Panama,21267.0,179.99,28.0,carguero,7.0,Toko Kaiun Kaisha Ltd,"Tobata, Japon",2025-01-24 22:54:00,Manzanillo,2025-01-25 15:10:00,altura / importacion,general suelta,rollos de lamina,1016.418,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,16.0,15.0,9.75,enero,2025
