num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
1.0,Cena Faith,9574365.0,desembarque,Panama,7460.0,122.2,20.0,carguero,7.0,Daeron Logistic  Hk Co Limited,"Buenaventura, Colombia",2025-03-29 09:24:00,"Puerto Quetzal, Guatemala",2025-04-02 14:19:00,altura / exportación,general suelta,acero,8751.3,,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,abril,2025
2.0,Dareen,9074913.0,desembarque,Panama,12959.0,140.0,20.0,carguero,9.0,Waterfront Shipping Limited,"Port Hedland, Australia",2025-04-23 21:30:00,"Corinto, Nicaragua",2025-04-25 03:55:00,altura / importación,general suelta,ganado,1879.74,,,,5,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,30.0,29.0,18.85,abril,2025
3.0,Carrera,9432880.0,desembarque,Inglaterra,46800.0,182.8,32.0,car-carrier,9.0,"Portman House, 2 Portman St. W1H 6Du, London, United Kingdom","Shangai, China",2025-04-02 14:00:00,Lazaro Cardenas,2025-04-02 23:35:00,altura / importación,general suelta,vehiculos,2207.434,1000.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,9.0,8.0,5.2,abril,2025
4.0,Jiuyang Fortune,9088237.0,desembarque,Hong Kong,44219.0,179.47,32.0,car-carrier,8.0,"Joy Hk Shipping Co., Limited",Lazaro Cardenas,2025-04-11 22:30:00,Shanghai,2025-04-12 12:15:00,altura / importación,general suelta,vehiculos,2334.025,1339.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,14.0,13.0,8.450000000000001,abril,2025
5.0,Grand Venus,9303211.0,desembarque,Panama,59217.0,199.99,32.0,car-carrier,10.0,Nyk Mexico,Lazaro Cardenas,2025-04-16 04:05:00,"Los Angeles, U.S.A.",2025-04-16 22:17:00,altura / importación,general suelta,vehiculos,2177.885,1511.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,18.0,17.0,11.05,abril,2025
6.0,Viking Emerald,9514987.0,desembarque,Islas Marshall,39454.0,167.25,28.0,car-carrier,9.0,"Cosco Shipping Logistics & Supply Chain Management Co., Ltd","Taichung, China",2025-04-20 19:48:00,Lazaro Cardenas,2025-04-21 12:34:00,altura / importación,general suelta,vehiculos,1780.28,1012.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,17.0,16.0,10.4,abril,2025
7.0,Saic Anji Phoenix,9190858.0,desembarque,Hong Kong,37237.0,176.0,31.0,car-carrier,9.0,"Shanghai Ansheng Automotive Shipping Co., Ltd",Lazaro Cardenas,2025-04-21 00:05:00,"Los Angeles, U.S.A.",2025-04-22 00:30:00,altura / importación,general suelta,vehiculos,1182.5,940.0,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,11.0,10.0,6.5,abril,2025
8.0,Morning Midas,9289910.0,desembarque,Britanica,46800.0,182.0,31.0,car-carrier,9.0,Zodiac Maritime Limited,"Masan, Korea",2025-04-22 05:30:00,Lazaro Cardenas,2025-04-23 02:20:00,altura / importación,general suelta,vehiculos,2356.947,1539.0,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,20.0,19.0,12.35,abril,2025
9.0,Sierra  Nevada Highway,9325439.0,desembarque,Panama,44364.0,183.0,30.0,car-carrier,9.0,Eternity Maritime Shipping S.A.,"Nansha, China",2025-04-21 15:15:00,Lazaro Cardenas,2025-04-25 15:15:00,altura / importación,general suelta,vehiculos,3187.855,2582.0,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,44.0,43.0,27.95,abril,2025
10.0,Tokyo Car,9432907.0,embarque,Liberia,46800.0,182.8,32.0,car-carrier,8.0,Zodiac Maritime Ltd,"Shangai, China",2025-04-23 04:30:00,Lazaro Cardenas,2025-04-25 23:18:00,altura / importación,general suelta,vehiculos,2537.188,1287.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,26.0,25.0,16.25,abril,2025
