num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
1.0,Dareen,9074913.0,desembarque,panamá,12959.0,140.0,20.0,carguero,9.0,Waterfront Shipping Limited,"Port Hedland, Australia",2025-06-16 19:00:00,"Port Hedland, Australia",2025-06-17 23:35:00,altura / importación,general suelta,ganado,1690.86,,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,28.0,27.0,18.85,junio,2025
2.0,An Ji 24,9776860.0,desembarque,china,35506.0,169.1,28.0,car-carrier,8.0,"Anji Shipping Co., Ltd.","Lianyungang, China",2025-06-01 19:45:00,"Lazaro Cardenas, Mexico",2025-06-03 00:23:00,altura / importación,general suelta,vehículos,2326.392,1702.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,18.0,17.0,11.05,junio,2025
3.0,Byd Changzhou,9955076.0,desembarque,liberia,69250.0,200.0,38.0,car-carrier,10.0,Byd Auto Industry Company Limited,"Shangai, China",2025-06-06 19:50:00,"Lazaro Cardenas, Mexico",2025-06-07 23:45:00,altura / importación,general suelta,vehículos,3241.05,2000.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,26.0,25.0,16.25,junio,2025
4.0,Jupiter Spirit,10007.0,desembarque,liberia,45961.0,183.0,30.0,car-carrier,5.0,World Marine Co.,"Los Angeles, Ca",2025-06-10 06:00:00,"Lazaro Cardenas, Mexico",2025-06-10 17:47:00,altura / importación,general suelta,vehículos,2019.89,1232.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,11.0,10.0,6.5,junio,2025
5.0,Grand Victory,9334234.0,desembarque,panamá,59219.0,199.9,32.0,carguero,9.0,Dynamic Inventor Marine S.A.,"Benicia, U.S.A",2025-06-18 19:55:00,"Inchon, Corea del Sur",2025-06-19 22:30:00,altura / importación,general suelta,vehículos,3654.896,2697.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,27.0,26.0,16.9,junio,2025
6.0,Dream Beauty,9303168.0,desembarque,panamá,41662.0,186.0,28.0,car-carrier,8.0,"Cido Shipping (Korea) Co.,Ltd","Lazaro Cardenas, Mexico",2025-06-25 05:50:00,"Shangai, China",2025-06-25 15:27:00,altura / importación,general suelta,vehículos,1347.218,960.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,10.0,9.0,5.85,junio,2025
7.0,G Poseidon,9445394.0,embarque,panamá,72408.0,232.39,32.31,car-carrier,10.0,Hyundai Glovis,"Kwangyang, Corea del Sur",2025-06-23 15:30:00,"Lazaro Cardenas, Mexico",2025-06-24 10:15:00,altura / importación,general suelta,vehículos,1666.55,1183.0,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,18.0,17.0,11.05,junio,2025
8.0,Viking Diamond,9481075.0,desembarque,islas marshall,39362.0,167.25,28.0,carguero,8.0,Osm Ship Management Pte. Ltd,Lazaro Cardenas,2025-06-25 20:50:00,"Los Angeles, U.S.A.",2025-06-26 11:20:00,altura / importación,general suelta,vehículos,675.49,497.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,14.0,13.0,8.45,junio,2025
9.0,Ocean Delight,1015351.0,desembarque,panamá,25069.0,180.0,32.0,carguero,10.0,Toko Kaiun Kaisha Ltd,"Ensenada, B.C.",2025-06-01 20:07:00,"Manzanillo, Col",2025-06-02 23:49:00,altura / importación,general suelta,rollos de lamina,1922.253,,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,11.0,10.0,6.5,junio,2025
10.0,Sea Bliss,9682887.0,desembarque,singapur,23254.0,180.0,30.0,carguero,10.0,Toko Kaiun Kaisha Ltd,"Tokai, Japon",2025-06-02 21:00:00,"Manzanillo, Col",2025-06-03 15:02:00,altura / importación,general suelta,rollos de lamina,3508.433,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,18.0,17.0,11.05,junio,2025
